"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.315527210E-1,-3.750381470E-1,-7.008558512E-2,6.022763252E-2,3.862550565E-1
6.363481380E-1,-2.756977081E-1,-1.433650851E-1,8.399116993E-1,8.955525872E-1
6.411435540E-1,-3.019495010E-1,-1.574648619E-1,1.341302872E0,1.383857680E0
6.459389190E-1,-4.928674698E-1,-8.468759060E-2,1.526872873E0,1.606683261E0
6.507343360E-1,-6.945457458E-1,-2.076882124E-2,1.426920414E0,1.587112789E0
6.555297520E-1,-8.514509201E-1,7.458108664E-2,1.185870171E0,1.461786260E0
6.603251690E-1,-8.562097549E-1,1.585834622E-1,8.759107590E-1,1.235096562E0
6.651205860E-1,-7.520208359E-1,1.817472577E-1,5.539236069E-1,9.515244429E-1
6.699160020E-1,-5.035991669E-1,1.781687737E-1,2.474033833E-1,5.886974323E-1
6.747113670E-1,-1.947793961E-1,1.200759411E-1,3.536105156E-2,2.315332562E-1
6.795067840E-1,9.108448029E-2,8.655625582E-2,-9.685182571E-2,1.586462862E-1
6.843022000E-1,2.901277542E-1,6.329768896E-2,-1.593930721E-1,3.370265014E-1
6.890976170E-1,3.958606720E-1,4.315060377E-2,-1.815466881E-1,4.376378025E-1
6.938930340E-1,4.183921814E-1,3.077709675E-2,-1.663744450E-1,4.513088777E-1
6.986884500E-1,3.534164429E-1,5.915504694E-2,-1.147248745E-1,3.762503136E-1
7.034838670E-1,3.175706863E-1,8.744806051E-2,-3.243088722E-2,3.309834838E-1
7.082792310E-1,2.699537277E-1,1.178922653E-1,6.769967079E-2,3.022529516E-1
7.130746480E-1,1.963415146E-1,1.076602936E-1,1.046688557E-1,2.471766545E-1
7.178700650E-1,1.065444946E-1,1.045000553E-1,9.584808350E-2,1.773664174E-1
7.226654810E-1,9.581470490E-2,5.383026600E-2,5.155062675E-2,1.213903717E-1
7.274608980E-1,3.327369690E-2,1.539438963E-2,-7.237076759E-2,8.112739451E-2
7.322563150E-1,-7.574272156E-2,-1.563704014E-2,-1.325323582E-1,1.534480461E-1
7.370516790E-1,-2.070789337E-1,-5.837661028E-2,-2.171647549E-1,3.056959996E-1
7.418470960E-1,-1.734437943E-1,-1.173236370E-1,-1.394090652E-1,2.515600784E-1
7.466425130E-1,-1.800727844E-1,-1.731855273E-1,-2.110373974E-1,3.270416146E-1
7.514379290E-1,-1.673536301E-1,-3.041816652E-1,-2.553191185E-1,4.309542611E-1
7.562333460E-1,-6.018829346E-2,-2.581807673E-1,-4.144859314E-2,2.683242910E-1
7.610287630E-1,-1.159858704E-2,-2.336932123E-1,1.381142139E-1,2.717031115E-1
7.658241270E-1,-3.295040131E-2,-1.500762105E-1,2.196440697E-1,2.680524487E-1
7.706195440E-1,-6.895828247E-2,-1.028946638E-1,2.778220177E-1,3.041835467E-1
7.754149610E-1,-1.002969742E-1,-3.973895311E-2,2.801439762E-1,3.001987922E-1
7.802103770E-1,-6.030654907E-2,1.317286491E-2,2.537488937E-1,2.611492012E-1
7.850057940E-1,1.974582672E-2,4.407590628E-2,1.945166588E-1,2.004228373E-1
7.898012110E-1,9.689712524E-2,1.172008514E-1,1.907057762E-1,2.439134796E-1
7.945966270E-1,1.593399048E-1,1.444529891E-1,1.327571869E-1,2.527456073E-1
7.993919920E-1,2.190856934E-1,1.666076779E-1,1.018545628E-1,2.934808534E-1
8.041874090E-1,1.978549957E-1,2.335748076E-1,8.353424072E-2,3.173038914E-1
8.089828250E-1,2.149524689E-1,2.358582020E-1,2.544879913E-2,3.201270009E-1
8.137782420E-1,1.633205414E-1,2.310574651E-1,-3.403377533E-2,2.849902617E-1
8.185736590E-1,1.265296936E-1,2.285413742E-1,-9.260964394E-2,2.771596458E-1
